,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,24,0,136,Cape Town,2,218,v South Africa,DA Warner,173,127.20,2016
,9,11,117,Auckland,2,161,v New Zealand,MP Stoinis,146*,124.78,2017
,10,3,116,Cardiff,2,178,v England,SE Marsh,131,112.93,2018
,12,5,125,Indore,1,154,v India,AJ Finch,124,99.20,2017
,12,4,119,Bengaluru,1,134,v India,DA Warner,124,104.20,2017
,13,2,107,Durban,1,139,v South Africa,DA Warner,117,109.34,2016
,9,1,107,Durban,1,136,v South Africa,SPD Smith,108,100.93,2016
,9,0,126,Pallekele,2,167,v Sri Lanka,DA Warner,106,84.12,2016
,5,4,92,Chester-le-Street,1,-,v England,SE Marsh,101,109.78,2018
,6,3,106,Chester-le-Street,1,-,v England,AJ Finch,100,94.33,2018
,8,4,79,Wellington,2,120,v New Zealand,DA Warner,98,124.05,2016
,4,3,123,Basseterre,1,178,v West Indies,UT Khawaja,98,79.67,2016
,10,3,96,Bengaluru,1,140,v India,AJ Finch,94,97.91,2017
,11,1,85,Dambulla,2,93,v Sri Lanka,GJ Bailey,90*,105.88,2016
,10,2,64,Leeds,1,81,v England,GJ Maxwell,85,132.81,2015
,7,3,80,Belfast,1,112,v Ireland,DA Warner,84,105.00,2015
,6,0,85,Bridgetown,2,123,v West Indies,MR Marsh,79*,92.94,2016
,5,0,107,Bridgetown,2,145,v West Indies,SPD Smith,78,72.89,2016
,3,0,88,Colombo (RPS),2,118,v Sri Lanka,MS Wade,76,86.36,2016
,6,1,110,Leeds,1,126,v England,GJ Bailey,75,68.18,2015
,5,2,95,Basseterre,1,135,v West Indies,SPD Smith,74,77.89,2016
,7,2,90,Centurion,1,146,v South Africa,GJ Bailey,74,82.22,2016
,12,0,50,Southampton,1,61,v England,MS Wade,71*,142.00,2015
,5,2,64,Birmingham,1,95,v England,TM Head,71*,110.93,2017
,11,1,64,Manchester,2,94,v England,AJ Finch,70*,109.37,2015
,7,0,87,Lord's,1,133,v England,SPD Smith,70,80.45,2015
,5,0,99,Dambulla,2,142,v Sri Lanka,GJ Bailey,70,70.70,2016
,9,1,72,Wellington,2,110,v New Zealand,MR Marsh,69*,95.83,2016
,7,1,70,Belfast,1,91,v Ireland,JA Burns,69,98.57,2015
,8,0,64,Birmingham,1,98,v England,AJ Finch,68,106.25,2017
,7,3,31,Lord's,1,43,v England,MR Marsh,64,206.45,2015
,5,0,71,Indore,1,111,v India,SPD Smith,63,88.73,2017
,9,0,64,Chester-le-Street,1,-,v England,TM Head,63,98.43,2018
,6,3,65,Kolkata,2,97,v India,MP Stoinis,62*,95.38,2017
,4,2,64,The Oval,1,73,v England,GJ Maxwell,62,96.87,2018
,6,0,67,Southampton,1,108,v England,DA Warner,59,88.05,2015
,8,0,76,Kolkata,2,118,v India,SPD Smith,59,77.63,2017
,5,0,92,Colombo (RPS),2,124,v Sri Lanka,SPD Smith,58,63.04,2016
,2,3,52,Bridgetown,1,83,v West Indies,MS Wade,57*,109.61,2016
,7,2,46,Colombo (RPS),2,58,v Sri Lanka,AJ Finch,56,121.73,2016
,5,2,64,Hamilton,2,86,v New Zealand,AJ Finch,56,87.50,2017
,5,0,77,Birmingham,1,104,v England,SPD Smith,56,72.72,2017
,9,0,42,Manchester,1,-,v England,TM Head,56,133.33,2018
,3,1,55,Providence,2,110,v West Indies,DA Warner,55*,100.00,2016
,1,2,56,Basseterre,1,77,v West Indies,GJ Bailey,55,98.21,2016
,8,3,19,Dambulla,2,26,v Sri Lanka,AJ Finch,55,289.47,2016
,5,0,72,Lord's,1,78,v England,GJ Bailey,54,75.00,2015
,8,0,60,Manchester,2,86,v England,AJ Finch,53,88.33,2015
,3,4,34,Durban,1,55,v South Africa,AJ Finch,53,155.88,2016
,5,0,72,Hamilton,2,97,v New Zealand,TM Head,53,73.61,2017
