,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,1,0,10,Chennai,2,17,v India,MS Wade,9,90.00,2017
,1,0,7,Chennai,2,7,v India,PJ Cummins,9,128.57,2017
,0,0,18,Cardiff,2,21,v England,MP Stoinis,9,50.00,2018
,0,1,5,Dambulla,2,8,v Sri Lanka,MS Wade,8*,160.00,2016
,0,0,14,Pallekele,2,15,v Sri Lanka,JP Faulkner,8*,57.14,2016
,2,0,6,Pallekele,2,6,v Sri Lanka,JW Hastings,8*,133.33,2016
,2,0,9,Auckland,2,21,v New Zealand,JW Hastings,8,88.88,2016
,0,0,17,Colombo (RPS),2,29,v Sri Lanka,DA Warner,8,47.05,2016
,2,0,11,Centurion,1,21,v South Africa,SPD Smith,8,72.72,2016
,0,1,11,Johannesburg,2,14,v South Africa,A Zampa,8,72.72,2016
,0,0,20,Kolkata,2,30,v India,NM Coulter-Nile,8,40.00,2017
,0,0,12,Manchester,1,-,v England,SE Marsh,8,66.66,2018
,1,0,30,Auckland,1,51,v New Zealand,PJ Cummins,7*,23.33,2015
,0,0,7,Cape Town,2,13,v South Africa,MS Wade,7,100.00,2016
,1,0,7,Auckland,2,11,v New Zealand,PSP Handscomb,7,100.00,2017
,1,0,4,Centurion,1,13,v South Africa,DJ Worrall,6*,150.00,2016
,0,0,8,Cape Town,2,24,v South Africa,A Zampa,6*,75.00,2016
,0,0,11,Southampton,1,22,v England,SR Watson,6,54.54,2015
,1,0,10,Wellington,2,13,v New Zealand,GJ Maxwell,6,60.00,2016
,0,0,19,Hamilton,2,23,v New Zealand,JW Hastings,6,31.57,2016
,1,0,10,Providence,2,10,v West Indies,SPD Smith,6,60.00,2016
,0,0,7,Colombo (RPS),2,12,v Sri Lanka,MC Henriques,6,85.71,2016
,1,0,6,Pallekele,2,11,v Sri Lanka,UT Khawaja,6,100.00,2016
,1,0,5,Port Elizabeth,1,10,v South Africa,DA Warner,6,120.00,2016
,0,0,14,The Oval,1,23,v England,MG Neser,6,42.85,2018
,1,0,5,Chester-le-Street,1,-,v England,AT Carey,6,120.00,2018
,1,0,5,Hamilton,2,16,v New Zealand,JR Hazlewood,5*,100.00,2016
,0,0,7,Colombo (RPS),2,15,v Sri Lanka,JP Faulkner,5*,71.42,2016
,0,0,7,Colombo (RPS),2,5,v Sri Lanka,MA Starc,5*,71.42,2016
,0,0,7,Dambulla,2,19,v Sri Lanka,JW Hastings,5*,71.42,2016
,1,0,6,Dambulla,2,4,v Sri Lanka,A Zampa,5*,83.33,2016
,0,0,4,Chennai,2,9,v India,A Zampa,5*,125.00,2017
,0,0,5,Nottingham,2,-,v England,AJ Tye,5*,100.00,2018
,0,0,6,Chester-le-Street,1,-,v England,JA Richardson,5*,83.33,2018
,0,0,15,Manchester,2,16,v England,AC Agar,5,33.33,2015
,0,0,5,Manchester,2,3,v England,PJ Cummins,5,100.00,2015
,0,0,12,Leeds,1,15,v England,SPD Smith,5,41.66,2015
,1,0,8,Auckland,2,7,v New Zealand,SE Marsh,5,62.50,2016
,1,0,3,Basseterre,1,6,v West Indies,MS Wade,5,166.66,2016
,0,0,6,Bridgetown,1,14,v West Indies,A Zampa,5,83.33,2016
,0,0,16,Colombo (RPS),2,17,v Sri Lanka,A Zampa,5,31.25,2016
,1,0,10,Centurion,1,14,v South Africa,MS Wade,5,50.00,2016
,1,0,4,Port Elizabeth,1,4,v South Africa,A Zampa,5,125.00,2016
,1,0,15,Auckland,2,16,v New Zealand,TM Head,5,33.33,2017
,0,0,6,Chennai,2,6,v India,TM Head,5,83.33,2017
,0,0,13,Indore,1,18,v India,GJ Maxwell,5,38.46,2017
,0,0,4,The Oval,1,8,v England,TM Head,5,125.00,2018
,0,0,9,Nottingham,2,-,v England,TD Paine,5,55.55,2018
,0,0,3,Basseterre,1,6,v West Indies,JP Faulkner,4*,133.33,2016
,0,0,6,Colombo (RPS),2,7,v Sri Lanka,NM Lyon,4*,66.66,2016
