,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,3.11,Auckland,2,0,v New Zealand,9.0,MA Starc,28,6,2015
,4.50,Dambulla,1,0,v Sri Lanka,10.0,JW Hastings,45,6,2016
,5.17,Bridgetown,2,1,v West Indies,9.4,JR Hazlewood,50,5,2016
,4.50,Manchester,1,0,v England,6.0,MR Marsh,27,4,2015
,3.80,Colombo (RPS),1,1,v Sri Lanka,10.0,JP Faulkner,38,4,2016
,4.90,Leeds,2,0,v England,10.0,PJ Cummins,49,4,2015
,6.58,Lord's,2,0,v England,8.3,PJ Cummins,56,4,2015
,2.78,Belfast,2,0,v Ireland,4.4,NM Coulter-Nile,13,3,2015
,2.90,Providence,1,0,v West Indies,5.3,A Zampa,16,3,2016
,2.10,Manchester,1,2,v England,10.0,JW Hastings,21,3,2015
,3.20,Bridgetown,2,1,v West Indies,10.0,MR Marsh,32,3,2016
,3.20,Colombo (RPS),1,1,v Sri Lanka,10.0,MA Starc,32,3,2016
,5.66,Hamilton,1,0,v New Zealand,6.0,MR Marsh,34,3,2016
,3.50,Manchester,2,1,v England,10.0,B Stanlake,35,3,2018
,3.80,Dambulla,1,0,v Sri Lanka,10.0,A Zampa,38,3,2016
,3.90,Providence,1,2,v West Indies,10.0,NM Lyon,39,3,2016
,4.44,Pallekele,1,0,v Sri Lanka,9.0,MA Starc,40,3,2016
,4.20,Colombo (RPS),1,0,v Sri Lanka,10.0,A Zampa,42,3,2016
,4.40,Chennai,1,0,v India,10.0,NM Coulter-Nile,44,3,2017
,5.00,Colombo (RPS),1,0,v Sri Lanka,9.0,JP Faulkner,45,3,2016
,4.90,Cape Town,1,2,v South Africa,10.0,JM Mennie,49,3,2016
,4.90,Auckland,1,0,v New Zealand,10.0,MP Stoinis,49,3,2017
,5.10,Bridgetown,1,1,v West Indies,10.0,MA Starc,51,3,2016
,5.10,Kolkata,1,0,v India,10.0,NM Coulter-Nile,51,3,2017
,5.66,Manchester,2,0,v England,9.0,KW Richardson,51,3,2018
,5.38,Colombo (RPS),1,0,v Sri Lanka,9.5,MA Starc,53,3,2016
,5.50,Kolkata,1,0,v India,10.0,KW Richardson,55,3,2017
,5.70,Johannesburg,1,0,v South Africa,10.0,JW Hastings,57,3,2016
,5.80,Bengaluru,2,0,v India,10.0,KW Richardson,58,3,2017
,6.55,Hamilton,1,0,v New Zealand,9.0,JP Faulkner,59,3,2017
,6.10,Wellington,1,0,v New Zealand,10.0,JR Hazlewood,61,3,2016
,6.20,Hamilton,1,1,v New Zealand,10.0,MA Starc,62,3,2017
,6.40,Cape Town,1,0,v South Africa,10.0,CP Tremain,64,3,2016
,9.57,Centurion,2,0,v South Africa,7.0,SM Boland,67,3,2016
,9.20,Nottingham,1,1,v England,10.0,JA Richardson,92,3,2018
,3.80,Belfast,2,0,v Ireland,5.0,PJ Cummins,19,2,2015
,4.40,Pallekele,1,0,v Sri Lanka,5.0,TM Head,22,2,2016
,5.00,Wellington,1,0,v New Zealand,6.0,MR Marsh,30,2,2016
,6.80,Belfast,2,0,v Ireland,5.0,MA Starc,34,2,2015
,5.00,Auckland,1,0,v New Zealand,7.0,MR Marsh,35,2,2016
,4.11,Providence,1,0,v West Indies,9.0,MA Starc,37,2,2016
,4.35,Manchester,2,0,v England,8.3,MP Stoinis,37,2,2018
,6.16,Auckland,2,0,v New Zealand,6.1,PJ Cummins,38,2,2015
,4.87,Southampton,2,1,v England,8.0,NM Coulter-Nile,39,2,2015
,4.87,Southampton,2,0,v England,8.0,SR Watson,39,2,2015
,10.25,Belfast,2,0,v Ireland,4.0,GJ Maxwell,41,2,2015
,4.10,Dambulla,1,1,v Sri Lanka,10.0,JW Hastings,41,2,2016
,5.60,Hamilton,1,0,v New Zealand,7.3,JW Hastings,42,2,2016
,4.20,Dambulla,1,0,v Sri Lanka,10.0,MA Starc,42,2,2016
,4.20,The Oval,2,1,v England,10.0,AJ Tye,42,2,2018
