,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,4.50,The Oval,2,0,v England,2.0,GJ Maxwell,9,0,2018
,5.00,Bridgetown,1,0,v West Indies,2.0,GJ Maxwell,10,0,2016
,11.00,Auckland,2,0,v New Zealand,1.0,MR Marsh,11,0,2015
,5.50,Kolkata,1,0,v India,2.0,TM Head,11,0,2017
,6.00,Belfast,2,0,v Ireland,2.0,SR Watson,12,0,2015
,12.00,Manchester,2,0,v England,1.0,DJM Short,12,0,2018
,4.33,Providence,1,0,v West Indies,3.0,JR Hazlewood,13,0,2016
,7.00,Birmingham,2,0,v England,2.0,GJ Maxwell,14,0,2017
,5.00,Hamilton,1,0,v New Zealand,3.0,GJ Maxwell,15,0,2016
,5.33,Bridgetown,1,0,v West Indies,3.0,AJ Finch,16,0,2016
,8.00,Centurion,2,0,v South Africa,2.0,TM Head,16,0,2016
,4.25,Leeds,2,0,v England,4.0,MP Stoinis,17,0,2015
,5.66,Nagpur,2,0,v India,3.0,AJ Finch,17,0,2017
,4.50,Colombo (RPS),1,0,v Sri Lanka,4.0,TM Head,18,0,2016
,5.00,Nagpur,2,0,v India,4.0,MP Stoinis,20,0,2017
,10.50,Johannesburg,1,0,v South Africa,2.0,TM Head,21,0,2016
,10.50,Nottingham,1,0,v England,2.0,GJ Maxwell,21,0,2018
,5.50,Hamilton,1,0,v New Zealand,4.0,MP Stoinis,22,0,2017
,11.50,Nottingham,1,0,v England,2.0,DJM Short,23,0,2018
,6.00,Cardiff,1,0,v England,4.0,DJM Short,24,0,2018
,8.66,Belfast,2,0,v Ireland,3.0,MR Marsh,26,0,2015
,6.50,Wellington,1,0,v New Zealand,4.0,GJ Maxwell,26,0,2016
,6.75,Port Elizabeth,2,0,v South Africa,4.0,JW Hastings,27,0,2016
,5.60,Manchester,1,0,v England,5.0,MR Marsh,28,0,2015
,5.60,The Oval,2,0,v England,5.0,AC Agar,28,0,2018
,4.83,Basseterre,2,0,v West Indies,6.0,TM Head,29,0,2016
,4.14,Nagpur,2,1,v India,7.0,PJ Cummins,29,0,2017
,10.00,Auckland,1,0,v New Zealand,3.0,GJ Maxwell,30,0,2016
,3.75,Basseterre,2,0,v West Indies,8.0,MR Marsh,30,0,2016
,4.00,Bridgetown,2,0,v West Indies,8.0,MA Starc,32,0,2016
,3.20,Manchester,2,0,v England,10.0,NM Lyon,32,0,2018
,5.50,Manchester,1,0,v England,6.0,PJ Cummins,33,0,2015
,6.60,Cape Town,1,0,v South Africa,5.0,A Zampa,33,0,2016
,4.85,Colombo (RPS),1,0,v Sri Lanka,7.0,A Zampa,34,0,2016
,7.03,Bengaluru,2,0,v India,4.5,MP Stoinis,34,0,2017
,6.00,Manchester,1,1,v England,6.0,JL Pattinson,36,0,2015
,7.20,Bridgetown,1,0,v West Indies,5.0,MR Marsh,36,0,2016
,3.60,Port Elizabeth,2,2,v South Africa,10.0,SM Boland,36,0,2016
,6.34,Nagpur,2,0,v India,5.5,JP Faulkner,37,0,2017
,6.33,Bengaluru,2,0,v India,6.0,TM Head,38,0,2017
,6.33,Nagpur,2,0,v India,6.0,TM Head,38,0,2017
,3.90,Dambulla,1,0,v Sri Lanka,10.0,JP Faulkner,39,0,2016
,8.00,Colombo (RPS),1,0,v Sri Lanka,5.0,MC Henriques,40,0,2016
,10.25,Colombo (RPS),1,0,v Sri Lanka,4.0,TM Head,41,0,2016
,5.85,Hamilton,1,0,v New Zealand,7.0,A Zampa,41,0,2017
,6.83,Chester-le-Street,2,0,v England,6.0,MP Stoinis,41,0,2018
,4.20,Wellington,1,1,v New Zealand,10.0,JW Hastings,42,0,2016
,4.40,Chennai,1,1,v India,10.0,PJ Cummins,44,0,2017
,5.11,Basseterre,2,0,v West Indies,9.0,JR Hazlewood,46,0,2016
,5.11,Kolkata,1,0,v India,9.0,MP Stoinis,46,0,2017
