,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,13,6,114,Nagpur,1,139,v India,GJ Bailey,156,136.84,2013
,12,5,125,Indore,1,154,v India,AJ Finch,124,99.20,2017
,12,4,119,Bengaluru,1,134,v India,DA Warner,124,104.20,2017
,11,6,73,Bengaluru,2,107,v India,JP Faulkner,116,158.90,2013
,8,2,112,Hyderabad (Deccan),1,180,v India,SE Marsh,112,100.00,2009
,7,1,139,Visakhapatnam,1,203,v India,MJ Clarke,111*,79.85,2010
,7,1,118,Ahmedabad,1,172,v India,RT Ponting,104,88.13,2011
,13,3,94,Nagpur,1,104,v India,SR Watson,102,108.51,2013
,10,3,96,Bengaluru,1,140,v India,AJ Finch,94,97.91,2017
,9,3,89,Hyderabad (Deccan),1,102,v India,SR Watson,93,104.49,2009
,8,5,50,Jaipur,1,79,v India,GJ Bailey,92*,184.00,2013
,6,6,49,Visakhapatnam,1,62,v India,CL White,89*,181.63,2010
,10,0,82,Pune,1,89,v India,GJ Bailey,85,103.65,2013
,8,1,103,Jaipur,1,147,v India,PJ Hughes,83,80.58,2013
,3,1,82,Delhi,1,130,v India,MEK Hussey,81*,98.78,2009
,7,0,88,Mohali,2,121,v India,AC Voges,76*,86.36,2013
,8,2,85,Vadodara,1,113,v India,RT Ponting,74,87.05,2009
,8,1,54,Vadodara,1,91,v India,MEK Hussey,73,135.18,2009
,8,3,79,Pune,1,98,v India,AJ Finch,72,91.13,2013
,7,0,77,Visakhapatnam,1,121,v India,MEK Hussey,69,89.61,2010
,2,6,29,Mohali,2,39,v India,JP Faulkner,64*,220.68,2013
,5,0,71,Indore,1,111,v India,SPD Smith,63,88.73,2017
,6,3,65,Kolkata,2,97,v India,MP Stoinis,62*,95.38,2017
,3,1,71,Mohali,1,101,v India,CL White,62,87.32,2009
,3,7,22,Bengaluru,2,23,v India,GJ Maxwell,60,272.72,2013
,4,0,92,Delhi,1,124,v India,RT Ponting,59,64.13,2009
,6,3,53,Jaipur,1,60,v India,SR Watson,59,111.32,2013
,8,0,76,Kolkata,2,118,v India,SPD Smith,59,77.63,2017
,2,5,33,Hyderabad (Deccan),1,54,v India,CL White,57,172.72,2009
,6,0,60,Nagpur,2,80,v India,MEK Hussey,53,88.33,2009
,6,1,62,Ahmedabad,1,95,v India,BJ Haddin,53,85.48,2011
,7,1,32,Jaipur,1,36,v India,GJ Maxwell,53,165.62,2013
,5,0,62,Nagpur,1,91,v India,DA Warner,53,85.48,2017
,5,1,59,Mohali,1,79,v India,RT Ponting,52,88.13,2009
,3,1,68,Vadodara,1,91,v India,CL White,51,75.00,2009
,9,0,62,Vadodara,1,84,v India,TD Paine,50,80.64,2009
,7,1,53,Jaipur,1,64,v India,AJ Finch,50,94.33,2013
,6,0,52,Mohali,1,86,v India,SR Watson,49,94.23,2009
,10,0,49,Guwahati,2,69,v India,SR Watson,49,100.00,2009
,2,6,22,Bengaluru,2,28,v India,SR Watson,49,222.72,2013
,5,0,53,Pune,1,73,v India,PJ Hughes,47,88.67,2013
,4,1,63,Nagpur,1,79,v India,MP Stoinis,46,73.01,2017
,3,1,45,Hyderabad (Deccan),1,56,v India,RT Ponting,45,100.00,2009
,5,0,38,Nagpur,1,55,v India,AC Voges,44*,115.78,2013
,4,1,60,Mohali,2,69,v India,GJ Bailey,43,71.66,2013
,3,1,30,Bengaluru,1,54,v India,PSP Handscomb,43,143.33,2017
,4,1,44,Indore,1,59,v India,DA Warner,42,95.45,2017
,4,0,59,Nagpur,1,78,v India,TM Head,42,71.18,2017
,5,0,59,Delhi,1,71,v India,SR Watson,41,69.49,2009
,2,1,41,Mohali,1,44,v India,MEK Hussey,40,97.56,2009
