,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,7,0,49,Bengaluru,2,67,v India,BJ Haddin,40,81.63,2013
,3,4,18,Chennai,2,25,v India,GJ Maxwell,39,216.66,2017
,5,0,39,Kolkata,2,57,v India,TM Head,39,100.00,2017
,3,1,26,Ahmedabad,1,44,v India,DJ Hussey,38*,146.15,2011
,6,0,44,Mohali,2,72,v India,AJ Finch,38,86.36,2013
,1,0,44,Nagpur,2,64,v India,AC Voges,36,81.81,2009
,2,0,62,Guwahati,2,72,v India,MEK Hussey,35*,56.45,2009
,1,1,25,Chennai,2,41,v India,JP Faulkner,32*,128.00,2017
,6,0,36,Nagpur,1,46,v India,AJ Finch,32,88.88,2017
,1,2,22,Hyderabad (Deccan),1,33,v India,MEK Hussey,31*,140.90,2009
,1,3,23,Pune,1,21,v India,GJ Maxwell,31,134.78,2013
,3,0,32,Nagpur,2,44,v India,NM Hauritz,30*,93.75,2009
,1,1,38,Bengaluru,1,55,v India,TM Head,29,76.31,2017
,1,1,28,Indore,1,42,v India,MP Stoinis,27*,96.42,2017
,0,2,22,Pune,1,28,v India,JP Faulkner,27,122.72,2013
,3,0,57,Guwahati,2,58,v India,RT Ponting,25,43.85,2009
,0,0,48,Guwahati,2,58,v India,CL White,25,52.08,2009
,5,0,38,Ahmedabad,1,39,v India,SR Watson,25,65.78,2011
,2,0,28,Chennai,2,47,v India,DA Warner,25,89.28,2017
,2,1,16,Mohali,2,19,v India,BJ Haddin,24,150.00,2013
,4,0,21,Guwahati,2,19,v India,AC Voges,23*,109.52,2009
,3,0,42,Nagpur,2,55,v India,CL White,23,54.76,2009
,2,0,33,Bengaluru,2,54,v India,PJ Hughes,23,69.69,2013
,4,0,40,Mohali,2,50,v India,PJ Hughes,22,55.00,2013
,1,1,21,Nagpur,2,25,v India,SE Marsh,21,100.00,2009
,2,1,19,Nagpur,2,26,v India,MG Johnson,21,110.52,2009
,3,0,28,Nagpur,1,47,v India,AJ Finch,20,71.42,2013
,0,1,18,Nagpur,1,29,v India,MS Wade,20,111.11,2017
,3,0,26,Nagpur,2,41,v India,SR Watson,19,73.07,2009
,3,0,37,Bengaluru,2,65,v India,CJ McKay,18,48.64,2013
,1,0,31,Delhi,1,36,v India,AC Voges,17,54.83,2009
,2,0,12,Nagpur,2,17,v India,BW Hilfenhaus,16,133.33,2009
,1,0,25,Nagpur,1,31,v India,SPD Smith,16,64.00,2017
,1,1,9,Bengaluru,1,17,v India,MP Stoinis,15*,166.66,2017
,2,0,8,Vadodara,1,18,v India,MG Johnson,14*,175.00,2009
,1,1,9,Vadodara,1,17,v India,JR Hopes,14,155.55,2009
,0,2,18,Kolkata,2,21,v India,GJ Maxwell,14,77.77,2017
,3,0,22,Nagpur,1,26,v India,PJ Hughes,13,59.09,2013
,0,0,17,Nagpur,1,19,v India,PSP Handscomb,13,76.47,2017
,2,0,16,Nagpur,2,24,v India,RT Ponting,12,75.00,2009
,0,0,17,Delhi,1,20,v India,MC Henriques,12,70.58,2009
,0,0,22,Ahmedabad,1,36,v India,CL White,12,54.54,2011
,0,0,17,Nagpur,1,27,v India,JP Faulkner,12,70.58,2017
,1,1,4,Pune,1,3,v India,CJ McKay,11*,275.00,2013
,0,1,8,Jaipur,1,14,v India,AC Voges,11,137.50,2013
,1,0,17,Mohali,2,33,v India,SR Watson,11,64.70,2013
,2,0,14,Pune,1,13,v India,BJ Haddin,10,71.42,2013
,0,1,12,Delhi,1,14,v India,MG Johnson,9*,75.00,2009
,0,0,11,Mohali,1,15,v India,NM Hauritz,9*,81.81,2009
,2,0,6,Pune,1,15,v India,MG Johnson,9*,150.00,2013
