,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,13,12,153,Mohali,1,212,v Sri Lanka,RG Sharma (INDIA),208*,135.94,2017
,19,4,141,Hyderabad (Deccan),2,210,v Australia,SR Tendulkar (INDIA),175,124.11,2009
,13,6,114,Nagpur,1,139,v India,GJ Bailey (AUS),156,136.84,2013
,16,1,134,Mohali,2,202,v New Zealand,V Kohli (INDIA),154*,114.92,2016
,12,5,121,Mohali,1,169,v Australia,MS Dhoni (INDIA),139*,114.87,2013
,12,3,126,Ranchi,2,192,v Sri Lanka,V Kohli (INDIA),139*,110.31,2014
,11,5,109,Nagpur,2,165,v Australia,RG Sharma (INDIA),125,114.67,2017
,9,3,107,Nagpur,1,141,v Australia,MS Dhoni (INDIA),124,115.88,2009
,18,1,66,Nagpur,2,104,v Australia,V Kohli (INDIA),115*,174.24,2013
,16,0,98,Delhi,2,134,v England,V Kohli (INDIA),112*,114.28,2011
,8,2,112,Hyderabad (Deccan),1,180,v India,SE Marsh (AUS),112,100.00,2009
,8,3,101,Nagpur,1,184,v South Africa,SR Tendulkar (INDIA),111,109.90,2011
,8,2,111,Nagpur,1,135,v Sri Lanka,MS Dhoni (INDIA),107,96.39,2009
,13,3,94,Nagpur,1,104,v India,SR Watson (AUS),102,108.51,2013
,11,0,102,Nagpur,2,152,v Australia,S Dhawan (INDIA),100,98.03,2013
,9,3,89,Hyderabad (Deccan),1,102,v India,SR Watson (AUS),93,104.49,2009
,6,0,104,Mohali,2,166,v England,AM Rahane (INDIA),91,87.50,2011
,8,1,79,Hyderabad (Deccan),2,-,v Sri Lanka,S Dhawan (INDIA),91,115.18,2014
,9,1,79,Mohali,2,121,v England,SK Raina (INDIA),89*,112.65,2013
,9,2,70,Mohali,1,99,v Sri Lanka,SS Iyer (INDIA),88,125.71,2017
,10,1,70,Hyderabad (Deccan),1,104,v England,MS Dhoni (INDIA),87*,124.28,2011
,11,0,115,Mohali,1,160,v Pakistan,SR Tendulkar (INDIA),85,73.91,2011
,10,0,90,Delhi,2,150,v England,G Gambhir (INDIA),84*,93.33,2011
,11,1,93,Mohali,2,135,v England,RG Sharma (INDIA),83,89.24,2013
,3,1,82,Delhi,1,130,v India,MEK Hussey (AUS),81*,98.78,2009
,6,3,91,Mohali,2,122,v New Zealand,MS Dhoni (INDIA),80,87.91,2016
,7,3,89,Nagpur,2,119,v Australia,RG Sharma (INDIA),79,88.76,2013
,8,2,96,Delhi,2,146,v Australia,Yuvraj Singh (INDIA),78,81.25,2009
,9,2,79,Ranchi,2,110,v England,V Kohli (INDIA),77*,97.46,2013
,7,0,88,Mohali,2,121,v India,AC Voges (AUS),76*,86.36,2013
,6,0,80,Nagpur,1,136,v Australia,G Gambhir (INDIA),76,95.00,2009
,12,0,66,Nagpur,1,87,v South Africa,V Sehwag (INDIA),73,110.60,2011
,6,0,95,Delhi,2,153,v Australia,MS Dhoni (INDIA),71*,74.73,2009
,7,0,75,Nagpur,1,98,v South Africa,G Gambhir (INDIA),69,92.00,2011
,4,3,55,Nagpur,1,78,v Sri Lanka,SK Raina (INDIA),68,123.63,2009
,9,0,73,Mohali,1,121,v Australia,V Kohli (INDIA),68,93.15,2013
,9,0,67,Mohali,1,87,v Sri Lanka,S Dhawan (INDIA),68,101.49,2017
,2,6,29,Mohali,2,39,v India,JP Faulkner (AUS),64*,220.68,2013
,6,1,50,Nagpur,1,68,v Australia,SK Raina (INDIA),62,124.00,2009
,3,1,71,Mohali,1,101,v India,CL White (AUS),62,87.32,2009
,6,1,61,Nagpur,2,87,v New Zealand,SR Watson (AUS),62,101.63,2011
,5,0,78,Delhi,1,124,v West Indies,V Kohli (INDIA),62,79.48,2014
,5,2,60,Delhi,1,83,v West Indies,SK Raina (INDIA),62,103.33,2014
,5,2,55,Hyderabad (Deccan),1,91,v England,SK Raina (INDIA),61,110.90,2011
,7,0,74,Nagpur,2,93,v Australia,AM Rahane (INDIA),61,82.43,2017
,4,0,92,Delhi,1,124,v India,RT Ponting (AUS),59,64.13,2009
,3,3,59,Hyderabad (Deccan),2,76,v Australia,SK Raina (INDIA),59,100.00,2009
,8,1,69,Ranchi,2,98,v Sri Lanka,AT Rayudu (INDIA),59,85.50,2014
,3,1,60,Mohali,2,76,v England,G Gambhir (INDIA),58,96.66,2011
,2,5,33,Hyderabad (Deccan),1,54,v India,CL White (AUS),57,172.72,2009
