,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,0,0,4,Ranchi,2,14,v England,AM Rahane (INDIA),0,0.00,2013
,0,0,1,Mohali,1,1,v Australia,Yuvraj Singh (INDIA),0,0.00,2013
,0,0,1,Mohali,1,10,v Australia,R Vinay Kumar (INDIA),0,0.00,2013
,0,0,1,Nagpur,1,3,v India,MG Johnson (AUS),0,0.00,2013
,0,0,3,Nagpur,2,2,v Australia,Yuvraj Singh (INDIA),0,0.00,2013
,0,0,1,Ranchi,2,2,v Sri Lanka,R Ashwin (INDIA),0,0.00,2014
,0,0,1,Delhi,2,4,v New Zealand,JJ Bumrah (INDIA),0,0.00,2016
,0,0,1,Ranchi,2,2,v New Zealand,KM Jadhav (INDIA),0,0.00,2016
,0,0,1,Nagpur,1,1,v India,NM Coulter-Nile (AUS),0,0.00,2017
,-,-,-,Nagpur,1,-,v Australia,A Nehra (INDIA),DNB,-,2009
,-,-,-,Nagpur,1,-,v Australia,RA Jadeja (INDIA),DNB,-,2009
,-,-,-,Nagpur,1,-,v Australia,I Sharma (INDIA),DNB,-,2009
,-,-,-,Delhi,1,-,v India,NM Hauritz (AUS),DNB,-,2009
,-,-,-,Delhi,1,-,v India,DE Bollinger (AUS),DNB,-,2009
,-,-,-,Delhi,1,-,v India,GA Manou (AUS),DNB,-,2009
,-,-,-,Delhi,1,-,v India,PM Siddle (AUS),DNB,-,2009
,-,-,-,Delhi,2,-,v Australia,I Sharma (INDIA),DNB,-,2009
,-,-,-,Delhi,2,-,v Australia,Harbhajan Singh (INDIA),DNB,-,2009
,-,-,-,Delhi,2,-,v Australia,P Kumar (INDIA),DNB,-,2009
,-,-,-,Delhi,2,-,v Australia,A Nehra (INDIA),DNB,-,2009
,-,-,-,Delhi,2,-,v Australia,RA Jadeja (INDIA),DNB,-,2009
,-,-,-,Hyderabad (Deccan),1,-,v India,BW Hilfenhaus (AUS),DNB,-,2009
,-,-,-,Hyderabad (Deccan),1,-,v India,GA Manou (AUS),DNB,-,2009
,-,-,-,Hyderabad (Deccan),1,-,v India,DE Bollinger (AUS),DNB,-,2009
,-,-,-,Hyderabad (Deccan),1,-,v India,AC Voges (AUS),DNB,-,2009
,-,-,-,Hyderabad (Deccan),1,-,v India,NM Hauritz (AUS),DNB,-,2009
,-,-,-,Hyderabad (Deccan),1,-,v India,CJ McKay (AUS),DNB,-,2009
,-,-,-,Nagpur,1,-,v Sri Lanka,A Nehra (INDIA),DNB,-,2009
,-,-,-,Nagpur,1,-,v Sri Lanka,Z Khan (INDIA),DNB,-,2009
,-,-,-,Nagpur,1,-,v Sri Lanka,P Kumar (INDIA),DNB,-,2009
,-,-,-,Nagpur,2,-,v New Zealand,JJ Krejza (AUS),DNB,-,2011
,-,-,-,Nagpur,2,-,v New Zealand,MG Johnson (AUS),DNB,-,2011
,-,-,-,Nagpur,2,-,v New Zealand,SPD Smith (AUS),DNB,-,2011
,-,-,-,Nagpur,2,-,v New Zealand,B Lee (AUS),DNB,-,2011
,-,-,-,Nagpur,2,-,v New Zealand,SW Tait (AUS),DNB,-,2011
,-,-,-,Nagpur,2,-,v New Zealand,DJ Hussey (AUS),DNB,-,2011
,-,-,-,Delhi,2,-,v Netherlands,Harbhajan Singh (INDIA),DNB,-,2011
,-,-,-,Delhi,2,-,v Netherlands,PP Chawla (INDIA),DNB,-,2011
,-,-,-,Delhi,2,-,v Netherlands,A Nehra (INDIA),DNB,-,2011
,-,-,-,Delhi,2,-,v Netherlands,Z Khan (INDIA),DNB,-,2011
,-,-,-,Hyderabad (Deccan),1,-,v England,R Vinay Kumar (INDIA),DNB,-,2011
,-,-,-,Hyderabad (Deccan),1,-,v England,UT Yadav (INDIA),DNB,-,2011
,-,-,-,Delhi,2,-,v England,P Kumar (INDIA),DNB,-,2011
,-,-,-,Delhi,2,-,v England,R Ashwin (INDIA),DNB,-,2011
,-,-,-,Delhi,2,-,v England,MS Dhoni (INDIA),DNB,-,2011
,-,-,-,Delhi,2,-,v England,RA Jadeja (INDIA),DNB,-,2011
,-,-,-,Delhi,2,-,v England,SK Raina (INDIA),DNB,-,2011
,-,-,-,Delhi,2,-,v England,R Vinay Kumar (INDIA),DNB,-,2011
,-,-,-,Delhi,2,-,v England,UT Yadav (INDIA),DNB,-,2011
,-,-,-,Mohali,2,-,v England,R Vinay Kumar (INDIA),DNB,-,2011
