,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,3.33,Delhi,1,1,v England,9.0,R Vinay Kumar (INDIA),30,4,2011
,3.60,Nagpur,1,3,v New Zealand,9.1,MG Johnson (AUS),33,4,2011
,3.78,Delhi,2,0,v West Indies,9.3,Mohammed Shami (INDIA),36,4,2014
,4.60,Mohali,1,1,v India,10.0,MG Johnson (AUS),46,4,2013
,5.88,Hyderabad (Deccan),1,0,v Sri Lanka,9.0,UT Yadav (INDIA),53,4,2014
,3.00,Ranchi,1,0,v England,6.2,RA Jadeja (INDIA),19,3,2013
,3.00,Delhi,1,0,v Netherlands,6.4,Z Khan (INDIA),20,3,2011
,3.78,Mohali,2,1,v India,7.4,SR Watson (AUS),29,3,2009
,5.80,Mohali,1,0,v New Zealand,5.0,KM Jadhav (INDIA),29,3,2016
,4.85,Hyderabad (Deccan),2,0,v England,7.0,RA Jadeja (INDIA),34,3,2011
,5.38,Nagpur,2,0,v Australia,6.3,RA Jadeja (INDIA),35,3,2009
,5.00,Nagpur,1,0,v New Zealand,7.0,SW Tait (AUS),35,3,2011
,4.28,Hyderabad (Deccan),2,0,v England,8.1,R Ashwin (INDIA),35,3,2011
,3.50,Delhi,1,0,v New Zealand,10.0,JJ Bumrah (INDIA),35,3,2016
,3.66,Delhi,2,0,v Pakistan,9.5,I Sharma (INDIA),36,3,2013
,4.62,Mohali,1,0,v Australia,8.0,A Nehra (INDIA),37,3,2009
,4.22,Mohali,2,2,v India,9.0,DE Bollinger (AUS),38,3,2009
,3.80,Nagpur,1,0,v Australia,10.0,AR Patel (INDIA),38,3,2017
,3.90,Mohali,1,2,v England,10.0,RA Jadeja (INDIA),39,3,2013
,4.00,Hyderabad (Deccan),1,1,v Sri Lanka,10.0,AR Patel (INDIA),40,3,2014
,4.88,Delhi,2,0,v West Indies,9.0,RA Jadeja (INDIA),44,3,2014
,5.42,Hyderabad (Deccan),2,0,v India,8.4,SR Watson (AUS),47,3,2009
,5.88,Nagpur,2,0,v South Africa,9.0,Harbhajan Singh (INDIA),53,3,2011
,7.12,Ranchi,1,0,v Sri Lanka,8.0,DS Kulkarni (INDIA),57,3,2014
,5.90,Hyderabad (Deccan),2,0,v India,10.0,CJ McKay (AUS),59,3,2009
,6.00,Delhi,1,0,v New Zealand,10.0,A Mishra (INDIA),60,3,2016
,6.00,Mohali,2,0,v Sri Lanka,10.0,YS Chahal (INDIA),60,3,2017
,6.30,Nagpur,2,0,v Sri Lanka,10.0,Z Khan (INDIA),63,3,2009
,7.50,Nagpur,1,0,v India,10.0,MG Johnson (AUS),75,3,2009
,7.50,Mohali,1,0,v New Zealand,10.0,UT Yadav (INDIA),75,3,2016
,4.14,Ranchi,1,0,v England,7.0,I Sharma (INDIA),29,2,2013
,3.44,Mohali,2,1,v India,9.0,NM Hauritz (AUS),31,2,2009
,3.10,Delhi,2,2,v Pakistan,10.0,B Kumar (INDIA),31,2,2013
,6.40,Hyderabad (Deccan),2,0,v England,5.0,UT Yadav (INDIA),32,2,2011
,3.30,Mohali,2,0,v Pakistan,10.0,A Nehra (INDIA),33,2,2011
,4.25,Nagpur,2,0,v Australia,8.0,I Sharma (INDIA),34,2,2009
,4.62,Nagpur,2,1,v Australia,8.0,P Kumar (INDIA),37,2,2009
,3.70,Ranchi,1,0,v England,10.0,R Ashwin (INDIA),37,2,2013
,4.00,Mohali,2,1,v Pakistan,10.0,MM Patel (INDIA),40,2,2011
,4.00,Delhi,2,2,v West Indies,10.0,A Mishra (INDIA),40,2,2014
,4.55,Delhi,1,1,v Australia,9.0,RA Jadeja (INDIA),41,2,2009
,4.20,Ranchi,1,0,v New Zealand,10.0,A Mishra (INDIA),42,2,2016
,4.77,Delhi,1,1,v Netherlands,9.0,Yuvraj Singh (INDIA),43,2,2011
,4.30,Mohali,2,0,v Pakistan,10.0,Harbhajan Singh (INDIA),43,2,2011
,4.30,Mohali,2,0,v Sri Lanka,10.0,JJ Bumrah (INDIA),43,2,2017
,4.50,Ranchi,1,0,v Sri Lanka,10.0,AR Patel (INDIA),45,2,2014
,4.60,Mohali,1,0,v New Zealand,10.0,A Mishra (INDIA),46,2,2016
,4.70,Delhi,1,0,v Netherlands,10.0,PP Chawla (INDIA),47,2,2011
,4.70,Delhi,2,1,v Pakistan,10.0,R Ashwin (INDIA),47,2,2013
,4.70,Mohali,1,2,v England,10.0,I Sharma (INDIA),47,2,2013
