,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,10.00,Delhi,2,0,v West Indies,2.0,V Kohli (INDIA),20,0,2014
,5.00,Nagpur,2,0,v India,4.0,MP Stoinis (AUS),20,0,2017
,4.80,Delhi,1,0,v Australia,5.0,I Sharma (INDIA),24,0,2009
,4.80,Hyderabad (Deccan),2,0,v England,5.0,R Vinay Kumar (INDIA),24,0,2011
,2.60,Delhi,2,0,v India,10.0,DE Bollinger (AUS),26,0,2009
,8.66,Hyderabad (Deccan),2,0,v India,3.0,MEK Hussey (AUS),26,0,2009
,3.85,Mohali,1,0,v Australia,7.0,RA Jadeja (INDIA),27,0,2009
,3.37,Ranchi,1,0,v New Zealand,8.0,KM Jadhav (INDIA),27,0,2016
,4.14,Nagpur,2,1,v India,7.0,PJ Cummins (AUS),29,0,2017
,3.00,Mohali,1,2,v England,10.0,B Kumar (INDIA),30,0,2013
,3.10,Delhi,1,0,v Netherlands,10.0,Harbhajan Singh (INDIA),31,0,2011
,4.57,Delhi,2,0,v West Indies,7.0,B Kumar (INDIA),32,0,2014
,6.60,Nagpur,1,0,v India,5.0,AC Voges (AUS),33,0,2009
,4.71,Mohali,2,0,v India,7.0,MC Henriques (AUS),33,0,2009
,8.25,Ranchi,1,0,v Sri Lanka,4.0,AT Rayudu (INDIA),33,0,2014
,6.80,Mohali,1,0,v New Zealand,5.0,HH Pandya (INDIA),34,0,2016
,5.14,Hyderabad (Deccan),1,0,v Australia,7.0,Yuvraj Singh (INDIA),36,0,2009
,6.34,Nagpur,2,0,v India,5.5,JP Faulkner (AUS),37,0,2017
,6.33,Nagpur,2,0,v India,6.0,TM Head (AUS),38,0,2017
,4.87,Nagpur,2,0,v Australia,8.0,Yuvraj Singh (INDIA),39,0,2009
,6.66,Nagpur,2,0,v India,6.0,XJ Doherty (AUS),40,0,2013
,5.71,Nagpur,2,0,v India,7.0,GJ Maxwell (AUS),40,0,2013
,4.10,Delhi,2,0,v India,10.0,PM Siddle (AUS),41,0,2009
,4.39,Mohali,1,0,v Australia,9.2,P Kumar (INDIA),41,0,2009
,8.40,Mohali,1,0,v Australia,5.0,I Sharma (INDIA),42,0,2009
,4.58,Nagpur,2,0,v Sri Lanka,9.1,RA Jadeja (INDIA),42,0,2009
,8.60,Hyderabad (Deccan),2,0,v India,5.0,NM Hauritz (AUS),43,0,2009
,8.80,Hyderabad (Deccan),1,0,v Australia,5.0,RA Jadeja (INDIA),44,0,2009
,4.50,Mohali,1,0,v England,10.0,R Ashwin (INDIA),45,0,2011
,4.50,Mohali,1,0,v India,10.0,XJ Doherty (AUS),45,0,2013
,5.00,Delhi,1,0,v New Zealand,9.0,HH Pandya (INDIA),45,0,2016
,9.40,Nagpur,1,0,v India,5.0,SR Watson (AUS),47,0,2009
,5.22,Nagpur,1,0,v New Zealand,9.0,JJ Krejza (AUS),47,0,2011
,5.87,Nagpur,2,0,v South Africa,8.0,Yuvraj Singh (INDIA),47,0,2011
,6.71,Nagpur,2,0,v India,7.0,CJ McKay (AUS),47,0,2013
,6.00,Nagpur,2,0,v Sri Lanka,8.0,P Kumar (INDIA),48,0,2009
,4.80,Nagpur,1,1,v Australia,10.0,Kuldeep Yadav (INDIA),48,0,2017
,4.90,Mohali,1,0,v New Zealand,10.0,AR Patel (INDIA),49,0,2016
,5.66,Delhi,1,0,v Australia,9.0,A Nehra (INDIA),51,0,2009
,8.50,Nagpur,2,0,v India,6.0,SR Watson (AUS),51,0,2013
,5.40,Nagpur,1,0,v India,10.0,NM Hauritz (AUS),54,0,2009
,7.25,Mohali,1,0,v England,8.0,Mohammed Shami (INDIA),58,0,2013
,6.44,Mohali,2,0,v Australia,9.0,R Ashwin (INDIA),58,0,2013
,6.10,Ranchi,1,0,v Sri Lanka,10.0,KV Sharma (INDIA),61,0,2014
,7.50,Nagpur,2,0,v South Africa,8.4,A Nehra (INDIA),65,0,2011
,7.10,Mohali,1,0,v England,10.0,UT Yadav (INDIA),71,0,2011
,8.11,Hyderabad (Deccan),1,0,v Australia,9.0,MM Patel (INDIA),73,0,2009
,8.22,Mohali,2,0,v India,9.0,MG Johnson (AUS),74,0,2009
,7.80,Nagpur,1,0,v Australia,10.0,A Mishra (INDIA),78,0,2013
,-,Nagpur,1,-,v India,DNB,TD Paine (AUS),-,-,2009
