,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,12,16,158,Bengaluru,1,222,v Australia,RG Sharma,209,132.27,2013
,19,4,141,Hyderabad (Deccan),2,210,v Australia,SR Tendulkar,175,124.11,2009
,17,4,123,Jaipur,2,195,v Australia,RG Sharma,141*,114.63,2013
,12,5,121,Mohali,1,169,v Australia,MS Dhoni,139*,114.87,2013
,11,5,109,Nagpur,2,165,v Australia,RG Sharma,125,114.67,2017
,9,3,107,Nagpur,1,141,v Australia,MS Dhoni,124,115.88,2009
,11,1,121,Visakhapatnam,2,193,v Australia,V Kohli,118,97.52,2010
,18,1,66,Nagpur,2,104,v Australia,V Kohli,115*,174.24,2013
,8,7,52,Jaipur,2,82,v Australia,V Kohli,100*,192.30,2013
,11,0,102,Nagpur,2,152,v Australia,S Dhawan,100,98.03,2013
,14,0,86,Jaipur,2,112,v Australia,S Dhawan,95,110.46,2013
,8,0,107,Kolkata,1,148,v Australia,V Kohli,92,85.98,2017
,5,5,66,Chennai,1,86,v Australia,HH Pandya,83,125.75,2017
,7,3,89,Nagpur,2,119,v Australia,RG Sharma,79,88.76,2013
,4,2,88,Chennai,1,152,v Australia,MS Dhoni,79,89.77,2017
,8,2,96,Delhi,2,146,v Australia,Yuvraj Singh,78,81.25,2009
,5,4,72,Indore,2,98,v Australia,HH Pandya,78,108.33,2017
,6,0,80,Nagpur,1,136,v Australia,G Gambhir,76,95.00,2009
,6,0,95,Delhi,2,153,v Australia,MS Dhoni,71*,74.73,2009
,9,1,47,Visakhapatnam,2,76,v Australia,SK Raina,71*,151.06,2010
,6,4,62,Indore,2,94,v Australia,RG Sharma,71,114.51,2017
,9,0,76,Indore,2,103,v Australia,AM Rahane,70,92.10,2017
,6,1,85,Vadodara,2,132,v Australia,G Gambhir,68,80.00,2009
,9,0,73,Mohali,1,121,v Australia,V Kohli,68,93.15,2013
,7,1,69,Bengaluru,2,95,v Australia,KM Jadhav,67,97.10,2017
,1,5,55,Bengaluru,2,93,v Australia,RG Sharma,65,118.18,2017
,6,1,50,Nagpur,1,68,v Australia,SK Raina,62,124.00,2009
,7,2,38,Bengaluru,1,73,v Australia,MS Dhoni,62,163.15,2013
,6,0,85,Pune,2,121,v Australia,V Kohli,61,71.76,2013
,7,0,74,Nagpur,2,93,v Australia,AM Rahane,61,82.43,2017
,9,0,57,Bengaluru,1,82,v Australia,S Dhawan,60,105.26,2013
,3,3,59,Hyderabad (Deccan),2,76,v Australia,SK Raina,59,100.00,2009
,5,0,87,Visakhapatnam,2,108,v Australia,Yuvraj Singh,58,66.66,2010
,8,0,65,Ahmedabad,2,90,v Australia,Yuvraj Singh,57*,87.69,2011
,6,0,103,Guwahati,1,148,v Australia,RA Jadeja,57,55.33,2009
,7,0,64,Kolkata,1,110,v Australia,AM Rahane,55,85.93,2017
,7,1,51,Guwahati,1,80,v Australia,P Kumar,54*,105.88,2009
,7,0,68,Ahmedabad,2,93,v Australia,SR Tendulkar,53,77.94,2011
,6,1,66,Bengaluru,2,75,v Australia,AM Rahane,53,80.30,2017
,2,0,64,Ahmedabad,2,116,v Australia,G Gambhir,50,78.12,2011
,4,3,31,Vadodara,2,48,v Australia,Harbhajan Singh,49,158.06,2009
,6,0,47,Pune,2,62,v Australia,RG Sharma,42,89.36,2013
,1,3,40,Bengaluru,2,64,v Australia,HH Pandya,41,102.50,2017
,5,1,32,Vadodara,2,41,v Australia,P Kumar,40*,125.00,2009
,6,1,31,Nagpur,1,49,v Australia,V Sehwag,40,129.03,2009
,6,0,68,Mohali,2,86,v Australia,SR Tendulkar,40,58.82,2009
,5,0,54,Chennai,1,72,v Australia,KM Jadhav,40,74.07,2017
,2,1,45,Pune,2,56,v Australia,SK Raina,39,86.66,2013
,2,0,55,Nagpur,2,73,v Australia,V Kohli,39,70.90,2017
,5,1,30,Hyderabad (Deccan),2,37,v Australia,V Sehwag,38,126.66,2009
