,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,6,0,32,Indore,2,44,v Australia,MK Pandey,36*,112.50,2017
,2,1,28,Ahmedabad,2,48,v Australia,SK Raina,34*,121.42,2011
,4,0,46,Vadodara,2,75,v Australia,MS Dhoni,34,73.91,2009
,3,1,25,Bengaluru,2,40,v Australia,MK Pandey,33,132.00,2017
,5,0,30,Chennai,1,45,v Australia,B Kumar,32*,106.66,2017
,2,0,47,Delhi,2,63,v Australia,SR Tendulkar,32,68.08,2009
,5,1,25,Mohali,2,33,v Australia,Harbhajan Singh,31,124.00,2009
,3,0,41,Vadodara,2,53,v Australia,V Kohli,30,73.17,2009
,7,0,19,Mohali,2,30,v Australia,V Sehwag,30,157.89,2009
,3,0,35,Mohali,1,55,v Australia,R Ashwin,28,80.00,2013
,2,0,30,Bengaluru,1,40,v Australia,SK Raina,28,93.33,2013
,3,0,44,Chennai,1,81,v Australia,RG Sharma,28,63.63,2017
,2,0,35,Indore,2,58,v Australia,V Kohli,28,80.00,2017
,2,0,46,Mohali,2,58,v Australia,MS Dhoni,26,56.52,2009
,2,0,23,Nagpur,2,35,v Australia,MS Dhoni,25*,108.69,2013
,1,0,77,Guwahati,1,97,v Australia,MS Dhoni,24,31.16,2009
,1,0,33,Ahmedabad,2,38,v Australia,V Kohli,24,72.72,2011
,2,1,24,Kolkata,1,36,v Australia,KM Jadhav,24,100.00,2017
,2,1,24,Nagpur,1,24,v Australia,Yuvraj Singh,23,95.83,2009
,3,0,17,Hyderabad (Deccan),2,24,v Australia,RA Jadeja,23,135.29,2009
,3,0,21,Bengaluru,2,23,v Australia,V Kohli,21,100.00,2017
,2,0,26,Kolkata,1,56,v Australia,HH Pandya,20,76.92,2017
,1,0,33,Kolkata,1,39,v Australia,B Kumar,20,60.60,2017
,2,0,22,Pune,2,52,v Australia,MS Dhoni,19,86.36,2013
,1,0,27,Pune,2,32,v Australia,B Kumar,18,66.66,2013
,0,0,30,Mohali,2,46,v Australia,SK Raina,17,56.66,2009
,2,0,19,Mohali,1,27,v Australia,SK Raina,17,89.47,2013
,3,0,19,Mohali,2,29,v Australia,P Kumar,16,84.21,2009
,2,0,15,Nagpur,2,34,v Australia,SK Raina,16,106.66,2013
,3,0,18,Visakhapatnam,2,36,v Australia,M Vijay,15,83.33,2010
,2,0,22,Ahmedabad,2,46,v Australia,V Sehwag,15,68.18,2011
,2,0,29,Vadodara,2,40,v Australia,SR Tendulkar,14,48.27,2009
,3,0,11,Vadodara,2,20,v Australia,V Sehwag,13,118.18,2009
,1,1,10,Bengaluru,2,12,v Australia,MS Dhoni,13,130.00,2017
,2,0,17,Visakhapatnam,2,22,v Australia,SS Tiwary,12*,70.58,2010
,0,0,21,Mohali,2,41,v Australia,Yuvraj Singh,12,57.14,2009
,0,1,14,Bengaluru,1,20,v Australia,Yuvraj Singh,12,85.71,2013
,2,0,11,Nagpur,2,12,v Australia,MK Pandey,11*,100.00,2017
,1,0,25,Delhi,2,41,v Australia,V Sehwag,11,44.00,2009
,1,0,18,Pune,2,22,v Australia,RA Jadeja,11,61.11,2013
,1,0,19,Pune,2,24,v Australia,R Vinay Kumar,11,57.89,2013
,2,0,22,Mohali,1,33,v Australia,RG Sharma,11,50.00,2013
,2,0,6,Kolkata,1,9,v Australia,JJ Bumrah,10*,166.66,2017
,1,0,16,Mohali,2,32,v Australia,V Kohli,10,62.50,2009
,2,0,17,Guwahati,1,23,v Australia,SR Tendulkar,10,58.82,2009
,1,0,18,Mohali,1,23,v Australia,B Kumar,10,55.55,2013
,1,0,13,Delhi,2,19,v Australia,SK Raina,9*,69.23,2009
,0,1,10,Vadodara,2,11,v Australia,SK Raina,9,90.00,2009
,1,0,10,Hyderabad (Deccan),2,21,v Australia,Yuvraj Singh,9,90.00,2009
,0,1,9,Hyderabad (Deccan),2,16,v Australia,P Kumar,9,100.00,2009
