,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,13,12,153,Mohali,1,212,v Sri Lanka,RG Sharma (INDIA),208*,135.94,2017
,20,4,137,Mumbai (BS),1,-,v West Indies,RG Sharma (INDIA),162,118.24,2018
,12,2,159,Cape Town,1,220,v South Africa,V Kohli (INDIA),160*,100.62,2018
,13,4,129,Visakhapatnam,1,217,v West Indies,V Kohli (INDIA),157*,121.70,2018
,15,8,117,Guwahati,2,-,v West Indies,RG Sharma (INDIA),152*,129.91,2018
,18,2,138,Kanpur,1,168,v New Zealand,RG Sharma (INDIA),147,106.52,2017
,21,2,107,Guwahati,2,-,v West Indies,V Kohli (INDIA),140,130.84,2018
,15,4,114,Nottingham,2,-,v England,RG Sharma (INDIA),137*,120.17,2018
,10,6,129,Sydney,2,204,v Australia,RG Sharma (INDIA),133,103.10,2019
,20,3,90,Dambulla,2,-,v Sri Lanka,S Dhawan (INDIA),132*,146.66,2017
,17,2,96,Colombo (RPS),1,-,v Sri Lanka,V Kohli (INDIA),131,136.45,2017
,10,3,116,Cardiff,2,178,v England,SE Marsh (AUS),131,112.93,2018
,11,3,123,Adelaide,1,182,v India,SE Marsh (AUS),131,106.50,2019
,19,2,96,Centurion,2,123,v South Africa,V Kohli (INDIA),129*,134.37,2018
,15,2,120,Dubai (DSC),1,-,v Hong Kong,S Dhawan (INDIA),127,105.83,2018
,15,1,128,The Oval,1,198,v Sri Lanka,S Dhawan (INDIA),125,97.65,2017
,11,5,109,Nagpur,2,165,v Australia,RG Sharma (INDIA),125,114.67,2017
,16,2,145,Pallekele,2,-,v Sri Lanka,RG Sharma (INDIA),124*,85.51,2017
,12,5,125,Indore,1,154,v India,AJ Finch (AUS),124,99.20,2017
,12,4,119,Bengaluru,1,134,v India,DA Warner (AUS),124,104.20,2017
,15,1,129,Birmingham,2,165,v Bangladesh,RG Sharma (INDIA),123*,95.34,2017
,9,2,125,Mumbai,1,203,v New Zealand,V Kohli (INDIA),121,96.80,2017
,11,4,126,Port Elizabeth,1,179,v South Africa,RG Sharma (INDIA),115,91.26,2018
,16,2,100,Dubai (DSC),2,-,v Pakistan,S Dhawan (INDIA),114,114.00,2018
,9,1,106,Kanpur,1,166,v New Zealand,V Kohli (INDIA),113,106.60,2017
,10,0,119,Durban,2,164,v South Africa,V Kohli (INDIA),112,94.11,2018
,12,2,115,Kingston,2,-,v West Indies,V Kohli (INDIA),111*,96.52,2017
,7,4,119,Dubai (DSC),2,-,v Pakistan,RG Sharma (INDIA),111*,93.27,2018
,9,0,116,Colombo (RPS),2,-,v Sri Lanka,V Kohli (INDIA),110*,94.82,2017
,10,2,105,Johannesburg,1,163,v South Africa,S Dhawan (INDIA),109,103.80,2018
,10,3,119,Melbourne,1,138,v England,AJ Finch (AUS),107,89.91,2018
,10,1,119,Pune,2,-,v West Indies,V Kohli (INDIA),107,89.91,2018
,9,1,114,Brisbane,1,-,v England,AJ Finch (AUS),106,92.98,2018
,7,4,102,Hobart,2,-,v South Africa,SE Marsh (AUS),106,103.92,2018
,11,3,88,Colombo (RPS),1,-,v Sri Lanka,RG Sharma (INDIA),104,118.18,2017
,5,2,112,Adelaide,2,150,v Australia,V Kohli (INDIA),104,92.85,2019
,10,2,104,Port of Spain,1,-,v West Indies,AM Rahane (INDIA),103,99.03,2017
,5,4,92,Chester-le-Street,1,-,v England,SE Marsh (AUS),101,109.78,2018
,13,2,85,Visakhapatnam,2,140,v Sri Lanka,S Dhawan (INDIA),100*,117.64,2017
,6,3,106,Chester-le-Street,1,-,v England,AJ Finch (AUS),100,94.33,2018
,8,4,81,Mumbai (BS),1,-,v West Indies,AT Rayudu (INDIA),100,123.45,2018
,13,0,78,Birmingham,2,96,v Bangladesh,V Kohli (INDIA),96*,123.07,2017
,15,0,107,Adelaide,2,-,v England,TM Head (AUS),96,89.71,2018
,10,3,96,Bengaluru,1,140,v India,AJ Finch (AUS),94,97.91,2017
,8,0,107,Kolkata,1,148,v Australia,V Kohli (INDIA),92,85.98,2017
,7,2,119,Birmingham,1,146,v Pakistan,RG Sharma (INDIA),91,76.47,2017
,8,4,113,Wellington,1,150,v New Zealand,AT Rayudu (INDIA),90,79.64,2019
,9,2,70,Mohali,1,99,v Sri Lanka,SS Iyer (INDIA),88,125.71,2017
,6,0,114,Melbourne,2,-,v Australia,MS Dhoni (INDIA),87*,76.31,2019
,4,4,66,Port of Spain,1,-,v West Indies,V Kohli (INDIA),87,131.81,2017
