,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,2.50,Nottingham,1,0,v England,10.0,Kuldeep Yadav (INDIA),25,6,2018
,4.20,Melbourne,1,0,v Australia,10.0,YS Chahal (INDIA),42,6,2019
,2.64,Centurion,1,1,v South Africa,8.2,YS Chahal (INDIA),22,5,2018
,2.70,Pallekele,1,2,v Sri Lanka,10.0,JJ Bumrah (INDIA),27,5,2017
,4.34,Colombo (RPS),1,0,v Sri Lanka,9.4,B Kumar (INDIA),42,5,2017
,4.75,Perth,1,0,v England,9.4,AJ Tye (AUS),46,5,2018
,2.55,Cape Town,2,1,v South Africa,9.0,Kuldeep Yadav (INDIA),23,4,2018
,2.40,Adelaide,1,2,v England,10.0,PJ Cummins (AUS),24,4,2018
,2.60,Sydney,2,2,v India,10.0,JA Richardson (AUS),26,4,2019
,2.90,Dubai (DSC),1,0,v Bangladesh,10.0,RA Jadeja (INDIA),29,4,2018
,3.45,Thiruvananthapuram,1,1,v West Indies,9.5,RA Jadeja (INDIA),34,4,2018
,3.50,Pune,1,1,v West Indies,10.0,JJ Bumrah (INDIA),35,4,2018
,3.90,Napier,1,1,v New Zealand,10.0,Kuldeep Yadav (INDIA),39,4,2019
,4.30,Pallekele,1,2,v Sri Lanka,10.0,JJ Bumrah (INDIA),43,4,2017
,4.50,Adelaide,1,0,v Australia,10.0,B Kumar (INDIA),45,4,2019
,4.50,Mount Maunganui,2,0,v New Zealand,10.0,Kuldeep Yadav (INDIA),45,4,2019
,5.11,Cape Town,2,0,v South Africa,9.0,YS Chahal (INDIA),46,4,2018
,4.80,Kingston,1,0,v West Indies,10.0,Mohammed Shami (INDIA),48,4,2017
,5.88,Centurion,1,0,v South Africa,8.5,SN Thakur (INDIA),52,4,2018
,5.70,Port Elizabeth,2,0,v South Africa,10.0,Kuldeep Yadav (INDIA),57,4,2018
,5.90,Brisbane,2,0,v England,10.0,MA Starc (AUS),59,4,2018
,7.10,Bengaluru,1,0,v Australia,10.0,UT Yadav (INDIA),71,4,2017
,1.45,Kolkata,2,2,v Australia,6.1,B Kumar (INDIA),9,3,2017
,2.60,Mumbai (BS),2,0,v West Indies,5.0,KK Ahmed (INDIA),13,3,2018
,2.14,Dubai (DSC),1,1,v Pakistan,7.0,B Kumar (INDIA),15,3,2018
,3.69,Perth,2,1,v South Africa,4.2,MP Stoinis (AUS),16,3,2018
,3.16,Napier,1,2,v New Zealand,6.0,Mohammed Shami (INDIA),19,3,2019
,3.33,Centurion,1,0,v South Africa,6.0,Kuldeep Yadav (INDIA),20,3,2018
,2.55,Dubai (DSC),1,1,v Pakistan,9.0,KM Jadhav (INDIA),23,3,2018
,2.80,North Sound,2,1,v West Indies,10.0,R Ashwin (INDIA),28,3,2017
,3.91,Birmingham,2,1,v Pakistan,7.4,UT Yadav (INDIA),30,3,2017
,6.00,Chennai,2,0,v Australia,5.0,YS Chahal (INDIA),30,3,2017
,3.20,Dubai (DSC),1,1,v Bangladesh,10.0,B Kumar (INDIA),32,3,2018
,4.21,Adelaide,1,0,v England,7.5,AJ Tye (AUS),33,3,2018
,3.40,Dambulla,1,0,v Sri Lanka,10.0,AR Patel (INDIA),34,3,2017
,3.40,Durban,1,0,v South Africa,10.0,Kuldeep Yadav (INDIA),34,3,2018
,3.50,Manchester,2,1,v England,10.0,B Stanlake (AUS),35,3,2018
,3.50,Adelaide,2,0,v South Africa,10.0,MP Stoinis (AUS),35,3,2018
,3.60,North Sound,1,1,v West Indies,10.0,UT Yadav (INDIA),36,3,2017
,4.03,Dubai (DSC),1,1,v Bangladesh,9.1,JJ Bumrah (INDIA),37,3,2018
,3.80,Nagpur,1,0,v Australia,10.0,AR Patel (INDIA),38,3,2017
,3.90,Adelaide,1,0,v England,10.0,JR Hazlewood (AUS),39,3,2018
,4.00,North Sound,1,0,v West Indies,10.0,HH Pandya (INDIA),40,3,2017
,4.10,North Sound,2,1,v West Indies,10.0,Kuldeep Yadav (INDIA),41,3,2017
,4.10,Guwahati,1,0,v West Indies,10.0,YS Chahal (INDIA),41,3,2018
,4.55,Mount Maunganui,1,0,v New Zealand,9.0,Mohammed Shami (INDIA),41,3,2019
,4.10,Wellington,2,0,v New Zealand,10.0,YS Chahal (INDIA),41,3,2019
,4.20,Visakhapatnam,1,0,v Sri Lanka,10.0,Kuldeep Yadav (INDIA),42,3,2017
,5.04,Mumbai (BS),2,0,v West Indies,8.2,Kuldeep Yadav (INDIA),42,3,2018
,4.40,Chennai,1,0,v India,10.0,NM Coulter-Nile (AUS),44,3,2017
