,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,5.66,The Oval,2,0,v Sri Lanka,3.0,V Kohli (INDIA),17,0,2017
,5.66,Nagpur,2,0,v India,3.0,AJ Finch (AUS),17,0,2017
,5.66,Brisbane,2,0,v England,3.0,AJ Finch (AUS),17,0,2018
,8.50,Mount Maunganui,2,0,v New Zealand,2.0,V Shankar (INDIA),17,0,2019
,5.66,Mount Maunganui,1,0,v New Zealand,3.0,KM Jadhav (INDIA),17,0,2019
,6.00,The Oval,2,0,v Sri Lanka,3.0,KM Jadhav (INDIA),18,0,2017
,9.00,Lord's,1,0,v England,2.0,SK Raina (INDIA),18,0,2018
,3.00,Perth,2,2,v South Africa,6.0,PJ Cummins (AUS),18,0,2018
,9.00,Sydney,2,0,v India,2.0,GJ Maxwell (AUS),18,0,2019
,3.80,North Sound,2,0,v West Indies,5.0,B Kumar (INDIA),19,0,2017
,6.33,Durban,1,0,v South Africa,3.0,KM Jadhav (INDIA),19,0,2018
,4.75,Napier,1,0,v New Zealand,4.0,V Shankar (INDIA),19,0,2019
,6.33,Hamilton,2,0,v New Zealand,3.0,KK Ahmed (INDIA),19,0,2019
,4.75,Wellington,2,0,v New Zealand,4.0,V Shankar (INDIA),19,0,2019
,5.00,Colombo (RPS),1,0,v Sri Lanka,4.0,KM Jadhav (INDIA),20,0,2017
,5.00,Nagpur,2,0,v India,4.0,MP Stoinis (AUS),20,0,2017
,6.66,Dubai (DSC),1,0,v Pakistan,3.0,KM Jadhav (INDIA),20,0,2018
,4.00,Napier,1,0,v New Zealand,5.0,B Kumar (INDIA),20,0,2019
,10.50,Nottingham,1,0,v England,2.0,GJ Maxwell (AUS),21,0,2018
,4.60,Birmingham,2,0,v Pakistan,5.0,JJ Bumrah (INDIA),23,0,2017
,7.66,Perth,1,0,v England,3.0,GJ Maxwell (AUS),23,0,2018
,11.50,Nottingham,1,0,v England,2.0,DJM Short (AUS),23,0,2018
,3.83,Melbourne,1,0,v Australia,6.0,V Shankar (INDIA),23,0,2019
,4.80,Adelaide,1,1,v England,5.0,MR Marsh (AUS),24,0,2018
,8.00,Adelaide,1,0,v England,3.0,MP Stoinis (AUS),24,0,2018
,6.00,Cardiff,1,0,v England,4.0,DJM Short (AUS),24,0,2018
,4.96,Dubai (DSC),1,0,v Pakistan,4.5,HH Pandya (INDIA),24,0,2018
,5.00,Port of Spain,2,0,v West Indies,5.0,Yuvraj Singh (INDIA),25,0,2017
,3.12,Mumbai (BS),2,1,v West Indies,8.0,JJ Bumrah (INDIA),25,0,2018
,2.70,Kingston,1,1,v West Indies,10.0,RA Jadeja (INDIA),27,0,2017
,6.75,Johannesburg,2,0,v South Africa,4.0,B Kumar (INDIA),27,0,2018
,5.60,The Oval,2,0,v England,5.0,AC Agar (AUS),28,0,2018
,4.00,Dubai (DSC),2,0,v Hong Kong,7.0,KM Jadhav (INDIA),28,0,2018
,4.14,Nagpur,2,1,v India,7.0,PJ Cummins (AUS),29,0,2017
,3.87,Pune,1,0,v New Zealand,8.0,KM Jadhav (INDIA),31,0,2017
,5.16,Dubai (DSC),1,0,v Bangladesh,6.0,RA Jadeja (INDIA),31,0,2018
,3.55,Port of Spain,2,0,v West Indies,9.0,HH Pandya (INDIA),32,0,2017
,6.85,Pallekele,1,0,v Sri Lanka,4.4,KM Jadhav (INDIA),32,0,2017
,6.40,Bengaluru,1,0,v Australia,5.0,HH Pandya (INDIA),32,0,2017
,3.20,Manchester,2,0,v England,10.0,NM Lyon (AUS),32,0,2018
,5.33,Hobart,1,0,v South Africa,6.0,A Zampa (AUS),32,0,2018
,12.00,Hamilton,2,0,v New Zealand,2.4,YS Chahal (INDIA),32,0,2019
,3.30,North Sound,1,2,v West Indies,10.0,Mohammed Shami (INDIA),33,0,2017
,5.50,Dambulla,1,0,v Sri Lanka,6.0,B Kumar (INDIA),33,0,2017
,4.71,Dubai (DSC),1,0,v Bangladesh,7.0,B Kumar (INDIA),33,0,2018
,8.50,Birmingham,1,0,v Bangladesh,4.0,HH Pandya (INDIA),34,0,2017
,7.03,Bengaluru,2,0,v India,4.5,MP Stoinis (AUS),34,0,2017
,7.84,Brisbane,2,0,v England,4.2,MP Stoinis (AUS),34,0,2018
,6.80,Centurion,1,0,v South Africa,5.0,HH Pandya (INDIA),34,0,2018
,4.85,Dubai (DSC),1,0,v Pakistan,7.0,YS Chahal (INDIA),34,0,2018
