,BR,Bat,Ground,Margin,Opposition,Result,Team,Toss,Year
,,2nd,Vadodara,4 runs,v Australia,lost,India,lost,2009
,,1st,Nagpur,99 runs,v Australia,won,India,lost,2009
,10,2nd,Delhi,6 wickets,v Australia,won,India,lost,2009
,,2nd,Mohali,24 runs,v Australia,lost,India,won,2009
,,2nd,Hyderabad (Deccan),3 runs,v Australia,lost,India,lost,2009
,49,1st,Guwahati,6 wickets,v Australia,lost,India,won,2009
,7,2nd,Visakhapatnam,5 wickets,v Australia,won,India,won,2010
,14,2nd,Ahmedabad,5 wickets,v Australia,won,India,lost,2011
,,2nd,Pune,72 runs,v Australia,lost,India,lost,2013
,39,2nd,Jaipur,9 wickets,v Australia,won,India,lost,2013
,3,1st,Mohali,4 wickets,v Australia,lost,India,lost,2013
,3,2nd,Nagpur,6 wickets,v Australia,won,India,won,2013
,,1st,Bengaluru,57 runs,v Australia,won,India,lost,2013
,,1st,Chennai,26 runs,v Australia,won,India,won,2017
,,1st,Kolkata,50 runs,v Australia,won,India,won,2017
,13,2nd,Indore,5 wickets,v Australia,won,India,lost,2017
,,2nd,Bengaluru,21 runs,v Australia,lost,India,lost,2017
,43,2nd,Nagpur,7 wickets,v Australia,won,India,lost,2017
