,4s,6s,BF,Ground,Inns,Mins,Opposition,Player,Runs,SR,Year
,2,0,12,Dharamsala,2,17,v New Zealand,KM Jadhav,10*,83.33,2016
,2,0,6,Kolkata,1,9,v Australia,JJ Bumrah,10*,166.66,2017
,2,0,6,Kolkata,2,8,v England,RA Jadeja,10,166.66,2017
,2,0,10,Dharamsala,1,11,v Sri Lanka,HH Pandya,10,100.00,2017
,1,0,17,Pune,2,-,v West Indies,B Kumar,10,58.82,2018
,1,0,13,Delhi,2,18,v New Zealand,V Kohli,9,69.23,2016
,0,0,13,Ranchi,2,18,v New Zealand,HH Pandya,9,69.23,2016
,1,0,12,Mumbai,1,15,v New Zealand,S Dhawan,9,75.00,2017
,1,0,27,Dharamsala,1,60,v Sri Lanka,SS Iyer,9,33.33,2017
,1,0,18,Pune,2,28,v England,KL Rahul,8,44.44,2017
,2,0,5,Cuttack,1,6,v England,V Kohli,8,160.00,2017
,1,0,6,Kanpur,1,9,v New Zealand,HH Pandya,8,133.33,2017
,1,0,5,Mohali,1,12,v Sri Lanka,HH Pandya,8,160.00,2017
,2,0,9,Pune,2,-,v West Indies,RG Sharma,8,88.88,2018
,1,0,4,Mumbai (BS),1,-,v West Indies,RA Jadeja,7*,175.00,2018
,0,0,15,Chennai,1,36,v South Africa,S Dhawan,7,46.66,2015
,0,1,6,Mumbai,2,11,v South Africa,V Kohli,7,116.66,2015
,0,0,12,Ranchi,2,26,v New Zealand,UT Yadav,7,58.33,2016
,1,0,14,Kolkata,1,24,v Australia,RG Sharma,7,50.00,2017
,1,0,19,Pune,2,17,v New Zealand,RG Sharma,7,36.84,2017
,0,1,5,Mohali,1,11,v Sri Lanka,MS Dhoni,7,140.00,2017
,0,1,14,Visakhapatnam,2,14,v Sri Lanka,RG Sharma,7,50.00,2017
,0,0,11,Pune,2,-,v West Indies,MS Dhoni,7,63.63,2018
,1,0,6,Bengaluru,2,10,v Australia,Mohammed Shami,6*,100.00,2017
,1,0,6,Pune,2,7,v England,MS Dhoni,6,100.00,2017
,1,0,5,Thiruvananthapuram,2,7,v West Indies,S Dhawan,6,120.00,2018
,1,0,8,Nagpur,2,14,v Australia,KM Jadhav,5*,62.50,2017
,0,0,8,Mumbai,2,13,v South Africa,AR Patel,5,62.50,2015
,1,0,10,Mohali,2,11,v New Zealand,AM Rahane,5,50.00,2016
,1,0,5,Cuttack,1,11,v England,KL Rahul,5,100.00,2017
,0,0,15,Chennai,1,18,v Australia,AM Rahane,5,33.33,2017
,1,0,10,Kolkata,1,19,v Australia,MS Dhoni,5,50.00,2017
,0,0,6,Bengaluru,2,15,v Australia,AR Patel,5,83.33,2017
,0,0,4,Chennai,1,7,v South Africa,AR Patel,4*,100.00,2015
,0,0,3,Kanpur,1,4,v New Zealand,KD Karthik,4*,133.33,2017
,1,0,3,Indore,1,3,v South Africa,UT Yadav,4,133.33,2015
,0,0,7,Rajkot,2,12,v South Africa,AM Rahane,4,57.14,2015
,1,0,7,Mumbai,2,12,v South Africa,A Mishra,4,57.14,2015
,1,0,6,Guwahati,2,-,v West Indies,S Dhawan,4,66.66,2018
,1,0,8,Visakhapatnam,1,14,v West Indies,RG Sharma,4,50.00,2018
,0,0,6,Indore,2,9,v Australia,MS Dhoni,3*,50.00,2017
,0,0,3,Kanpur,2,3,v South Africa,SK Raina,3,100.00,2015
,0,0,10,Indore,1,6,v South Africa,RG Sharma,3,30.00,2015
,0,0,13,Kolkata,1,14,v Australia,MK Pandey,3,23.07,2017
,0,0,5,Pune,2,-,v West Indies,YS Chahal,3,60.00,2018
,0,0,11,Pune,2,-,v West Indies,KK Ahmed,3,27.27,2018
,0,0,2,Bengaluru,2,3,v Australia,UT Yadav,2*,100.00,2017
,0,0,5,Kanpur,2,18,v South Africa,STR Binny,2,40.00,2015
,0,0,4,Indore,2,3,v Australia,KM Jadhav,2,50.00,2017
,0,0,13,Dharamsala,1,19,v Sri Lanka,RG Sharma,2,15.38,2017
