,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,3.00,Visakhapatnam,2,2,v New Zealand,6.0,A Mishra,18,5,2016
,3.45,Thiruvananthapuram,1,1,v West Indies,9.5,RA Jadeja,34,4,2018
,3.50,Pune,1,1,v West Indies,10.0,JJ Bumrah,35,4,2018
,7.10,Bengaluru,1,0,v Australia,10.0,UT Yadav,71,4,2017
,1.45,Kolkata,2,2,v Australia,6.1,B Kumar,9,3,2017
,2.60,Mumbai (BS),2,0,v West Indies,5.0,KK Ahmed,13,3,2018
,5.80,Mohali,1,0,v New Zealand,5.0,KM Jadhav,29,3,2016
,6.00,Chennai,2,0,v Australia,5.0,YS Chahal,30,3,2017
,4.42,Dharamsala,1,0,v New Zealand,7.0,HH Pandya,31,3,2016
,3.50,Delhi,1,0,v New Zealand,10.0,JJ Bumrah,35,3,2016
,3.80,Nagpur,1,0,v Australia,10.0,AR Patel,38,3,2017
,3.90,Indore,2,0,v South Africa,10.0,AR Patel,39,3,2015
,4.73,Indore,2,0,v South Africa,8.4,B Kumar,41,3,2015
,4.10,Guwahati,1,0,v West Indies,10.0,YS Chahal,41,3,2018
,4.20,Visakhapatnam,1,0,v Sri Lanka,10.0,Kuldeep Yadav,42,3,2017
,5.04,Mumbai (BS),2,0,v West Indies,8.2,Kuldeep Yadav,42,3,2018
,4.50,Pune,1,0,v New Zealand,10.0,B Kumar,45,3,2017
,4.60,Visakhapatnam,1,3,v Sri Lanka,10.0,YS Chahal,46,3,2017
,4.70,Kanpur,2,0,v New Zealand,10.0,JJ Bumrah,47,3,2017
,5.54,Dharamsala,1,0,v New Zealand,8.5,A Mishra,49,3,2016
,4.90,Kolkata,1,1,v England,10.0,HH Pandya,49,3,2017
,5.40,Kolkata,2,1,v Australia,10.0,Kuldeep Yadav,54,3,2017
,6.00,Delhi,1,0,v New Zealand,10.0,A Mishra,60,3,2016
,6.00,Mohali,2,0,v Sri Lanka,10.0,YS Chahal,60,3,2017
,6.50,Cuttack,2,0,v England,10.0,R Ashwin,65,3,2017
,6.70,Visakhapatnam,2,0,v West Indies,10.0,Kuldeep Yadav,67,3,2018
,6.80,Chennai,2,0,v South Africa,10.0,B Kumar,68,3,2015
,7.50,Mohali,1,0,v New Zealand,10.0,UT Yadav,75,3,2016
,2.00,Dharamsala,1,0,v New Zealand,3.0,KM Jadhav,6,2,2016
,2.16,Visakhapatnam,2,0,v New Zealand,4.1,AR Patel,9,2,2016
,1.83,Thiruvananthapuram,1,1,v West Indies,6.0,JJ Bumrah,11,2,2018
,7.00,Chennai,2,0,v Australia,4.0,HH Pandya,28,2,2017
,4.14,Thiruvananthapuram,1,1,v West Indies,7.0,KK Ahmed,29,2,2018
,3.87,Dharamsala,1,0,v New Zealand,8.0,UT Yadav,31,2,2016
,8.25,Chennai,2,0,v Australia,4.0,Kuldeep Yadav,33,2,2017
,3.40,Kolkata,2,1,v Australia,10.0,YS Chahal,34,2,2017
,4.50,Pune,1,1,v New Zealand,8.0,YS Chahal,36,2,2017
,3.80,Pune,1,2,v New Zealand,10.0,JJ Bumrah,38,2,2017
,4.20,Ranchi,1,0,v New Zealand,10.0,A Mishra,42,2,2016
,4.30,Mohali,2,0,v Sri Lanka,10.0,JJ Bumrah,43,2,2017
,4.60,Mohali,1,0,v New Zealand,10.0,A Mishra,46,2,2016
,5.11,Pune,1,0,v England,9.0,HH Pandya,46,2,2017
,4.70,Kanpur,1,0,v South Africa,10.0,A Mishra,47,2,2015
,4.70,Kanpur,2,0,v New Zealand,10.0,YS Chahal,47,2,2017
,4.90,Visakhapatnam,1,1,v Sri Lanka,10.0,HH Pandya,49,2,2017
,5.00,Chennai,2,0,v South Africa,10.0,Harbhajan Singh,50,2,2015
,5.10,Indore,2,0,v South Africa,10.0,Harbhajan Singh,51,2,2015
,5.10,Nagpur,1,2,v Australia,10.0,JJ Bumrah,51,2,2017
,5.37,Mohali,1,0,v New Zealand,9.4,JJ Bumrah,52,2,2016
,5.20,Indore,1,0,v Australia,10.0,JJ Bumrah,52,2,2017
