,Econ,Ground,Inns,Mdns,Opposition,Overs,Player,Runs,Wkts,Year
,7.00,Kolkata,1,0,v England,8.0,B Kumar,56,0,2017
,10.00,Cuttack,2,0,v England,6.0,HH Pandya,60,0,2017
,6.66,Kolkata,1,0,v England,9.0,R Ashwin,60,0,2017
,6.20,Bengaluru,1,1,v Australia,10.0,Mohammed Shami,62,0,2017
,7.87,Kanpur,1,0,v South Africa,8.0,STR Binny,63,0,2015
,7.87,Pune,1,0,v England,8.0,R Ashwin,63,0,2017
,6.40,Guwahati,1,0,v West Indies,10.0,UT Yadav,64,0,2018
,6.50,Rajkot,1,1,v South Africa,10.0,B Kumar,65,0,2015
,8.12,Mumbai,1,0,v South Africa,8.0,AR Patel,65,0,2015
,6.60,Bengaluru,1,0,v Australia,10.0,AR Patel,66,0,2017
,6.70,Kanpur,1,0,v South Africa,10.0,B Kumar,67,0,2015
,7.80,Mumbai,1,0,v South Africa,10.0,A Mishra,78,0,2015
,-,Kanpur,1,-,v South Africa,DNB,MS Dhoni,-,-,2015
,-,Kanpur,1,-,v South Africa,DNB,S Dhawan,-,-,2015
,-,Kanpur,1,-,v South Africa,DNB,RG Sharma,-,-,2015
,-,Kanpur,1,-,v South Africa,DNB,AM Rahane,-,-,2015
,-,Indore,2,-,v South Africa,DNB,MS Dhoni,-,-,2015
,-,Indore,2,-,v South Africa,DNB,S Dhawan,-,-,2015
,-,Indore,2,-,v South Africa,DNB,RG Sharma,-,-,2015
,-,Indore,2,-,v South Africa,DNB,V Kohli,-,-,2015
,-,Indore,2,-,v South Africa,DNB,AM Rahane,-,-,2015
,-,Rajkot,1,-,v South Africa,DNB,MS Dhoni,-,-,2015
,-,Rajkot,1,-,v South Africa,DNB,S Dhawan,-,-,2015
,-,Rajkot,1,-,v South Africa,DNB,RG Sharma,-,-,2015
,-,Rajkot,1,-,v South Africa,DNB,V Kohli,-,-,2015
,-,Rajkot,1,-,v South Africa,DNB,AM Rahane,-,-,2015
,-,Chennai,2,-,v South Africa,DNB,RG Sharma,-,-,2015
,-,Chennai,2,-,v South Africa,DNB,V Kohli,-,-,2015
,-,Chennai,2,-,v South Africa,DNB,AM Rahane,-,-,2015
,-,Chennai,2,-,v South Africa,DNB,MS Dhoni,-,-,2015
,-,Chennai,2,-,v South Africa,DNB,SK Raina,-,-,2015
,-,Chennai,2,-,v South Africa,DNB,S Dhawan,-,-,2015
,-,Mumbai,1,-,v South Africa,DNB,MS Dhoni,-,-,2015
,-,Mumbai,1,-,v South Africa,DNB,S Dhawan,-,-,2015
,-,Mumbai,1,-,v South Africa,DNB,RG Sharma,-,-,2015
,-,Mumbai,1,-,v South Africa,DNB,AM Rahane,-,-,2015
,-,Dharamsala,1,-,v New Zealand,DNB,MS Dhoni,-,-,2016
,-,Dharamsala,1,-,v New Zealand,DNB,RG Sharma,-,-,2016
,-,Dharamsala,1,-,v New Zealand,DNB,V Kohli,-,-,2016
,-,Dharamsala,1,-,v New Zealand,DNB,AM Rahane,-,-,2016
,-,Dharamsala,1,-,v New Zealand,DNB,MK Pandey,-,-,2016
,-,Delhi,1,-,v New Zealand,DNB,MS Dhoni,-,-,2016
,-,Delhi,1,-,v New Zealand,DNB,RG Sharma,-,-,2016
,-,Delhi,1,-,v New Zealand,DNB,V Kohli,-,-,2016
,-,Delhi,1,-,v New Zealand,DNB,AM Rahane,-,-,2016
,-,Delhi,1,-,v New Zealand,DNB,MK Pandey,-,-,2016
,-,Mohali,1,-,v New Zealand,DNB,V Kohli,-,-,2016
,-,Mohali,1,-,v New Zealand,DNB,AM Rahane,-,-,2016
,-,Mohali,1,-,v New Zealand,DNB,MK Pandey,-,-,2016
,-,Mohali,1,-,v New Zealand,DNB,MS Dhoni,-,-,2016
