Ground,Opposition,Player,Year
Delhi,v Australia,RGSharma,2019
Delhi,v Australia,VKohli,2019
Delhi,v Australia,SDhawan,2019
Delhi,v Australia,ATRayudu,2019
Delhi,v Australia,MSDhoni,2019
Delhi,v Australia,KMJadhav,2019
Delhi,v Australia,KLRahul,2019
Delhi,v Australia,KDKarthik,2019
Delhi,v Australia,KMJadhav,2019
Delhi,v Australia,RRPant,2019
Delhi,v Australia,VShankar,2019
Delhi,v India,SEMarsh,2019
Delhi,v India,AJFinch,2019
Delhi,v India,TMHead,2019
Delhi,v India,MPStoinis,2019
Delhi,v India,PSPHandscomb,2019
Delhi,v India,GJMaxwell,2019
Delhi,v India,UTKhawaja,2019
Delhi,v India,DJMShort,2019
Delhi,v India,ATCarey,2019
Delhi,v India,PJCummins,2019
