Ground,Opposition,Player,Year
Hyderabad (Deccan),v Australia,RGSharma,2019
Hyderabad (Deccan),v Australia,VKohli,2019
Hyderabad (Deccan),v Australia,SDhawan,2019
Hyderabad (Deccan),v Australia,ATRayudu,2019
Hyderabad (Deccan),v Australia,MSDhoni,2019
Hyderabad (Deccan),v Australia,KMJadhav,2019
Hyderabad (Deccan),v Australia,KLRahul,2019
Hyderabad (Deccan),v Australia,KDKarthik,2019
Hyderabad (Deccan),v Australia,KMJadhav,2019
Hyderabad (Deccan),v Australia,RRPant,2019
Hyderabad (Deccan),v Australia,VShankar,2019
Hyderabad (Deccan),v India,SEMarsh,2019
Hyderabad (Deccan),v India,AJFinch,2019
Hyderabad (Deccan),v India,TMHead,2019
Hyderabad (Deccan),v India,MPStoinis,2019
Hyderabad (Deccan),v India,PSPHandscomb,2019
Hyderabad (Deccan),v India,GJMaxwell,2019
Hyderabad (Deccan),v India,UTKhawaja,2019
Hyderabad (Deccan),v India,DJMShort,2019
Hyderabad (Deccan),v India,ATCarey,2019
Hyderabad (Deccan),v India,PJCummins,2019
