Ground,Opposition,Player,Year
Mohali,v Australia,RGSharma,2019
Mohali,v Australia,VKohli,2019
Mohali,v Australia,SDhawan,2019
Mohali,v Australia,ATRayudu,2019
Mohali,v Australia,MSDhoni,2019
Mohali,v Australia,KMJadhav,2019
Mohali,v Australia,KLRahul,2019
Mohali,v Australia,KDKarthik,2019
Mohali,v Australia,KMJadhav,2019
Mohali,v Australia,RRPant,2019
Mohali,v Australia,VShankar,2019
Mohali,v India,SEMarsh,2019
Mohali,v India,AJFinch,2019
Mohali,v India,TMHead,2019
Mohali,v India,MPStoinis,2019
Mohali,v India,PSPHandscomb,2019
Mohali,v India,GJMaxwell,2019
Mohali,v India,UTKhawaja,2019
Mohali,v India,DJMShort,2019
Mohali,v India,ATCarey,2019
Mohali,v India,PJCummins,2019
