Ground,Opposition,Player,Year
Nagpur,v Australia,RGSharma,2019
Nagpur,v Australia,VKohli,2019
Nagpur,v Australia,SDhawan,2019
Nagpur,v Australia,ATRayudu,2019
Nagpur,v Australia,MSDhoni,2019
Nagpur,v Australia,KMJadhav,2019
Nagpur,v Australia,KLRahul,2019
Nagpur,v Australia,KDKarthik,2019
Nagpur,v Australia,KMJadhav,2019
Nagpur,v Australia,RRPant,2019
Nagpur,v Australia,VShankar,2019
Nagpur,v India,SEMarsh,2019
Nagpur,v India,AJFinch,2019
Nagpur,v India,TMHead,2019
Nagpur,v India,MPStoinis,2019
Nagpur,v India,PSPHandscomb,2019
Nagpur,v India,GJMaxwell,2019
Nagpur,v India,UTKhawaja,2019
Nagpur,v India,DJMShort,2019
Nagpur,v India,ATCarey,2019
Nagpur,v India,PJCummins,2019
