Ground,Opposition,Player,Year
Ranchi,v Australia,RGSharma,2019
Ranchi,v Australia,VKohli,2019
Ranchi,v Australia,SDhawan,2019
Ranchi,v Australia,ATRayudu,2019
Ranchi,v Australia,MSDhoni,2019
Ranchi,v Australia,KMJadhav,2019
Ranchi,v Australia,KLRahul,2019
Ranchi,v Australia,KDKarthik,2019
Ranchi,v Australia,KMJadhav,2019
Ranchi,v Australia,RRPant,2019
Ranchi,v Australia,VShankar,2019
Ranchi,v India,SEMarsh,2019
Ranchi,v India,AJFinch,2019
Ranchi,v India,TMHead,2019
Ranchi,v India,MPStoinis,2019
Ranchi,v India,PSPHandscomb,2019
Ranchi,v India,GJMaxwell,2019
Ranchi,v India,UTKhawaja,2019
Ranchi,v India,DJMShort,2019
Ranchi,v India,ATCarey,2019
Ranchi,v India,PJCummins,2019
