Ground,Opposition,Player,Year
Delhi,v Australia,KuldeepYadav,2019
Delhi,v Australia,YSChahal,2019
Delhi,v Australia,JJBumrah,2019
Delhi,v Australia,BKumar,2019
Delhi,v Australia,RAJadeja,2019
Delhi,v Australia,MohammedShami,2019
Delhi,v Australia,UTYadav,2019
Delhi,v Australia,KMJadhav,2019
Delhi,v Australia,VShankar,2019
Delhi,v Australia,SKaul,2019
Delhi,v India,PJCummins,2019
Delhi,v India,JARichardson,2019
Delhi,v India,MPStoinis,2019
Delhi,v India,NMCoulter-Nile,2019
Delhi,v India,KWRichardson,2019
Delhi,v India,GJMaxwell,2019
Delhi,v India,JPBehrendorff,2019
Delhi,v India,AZampa,2019
Delhi,v India,NMLyon,2019
