Ground,Opposition,Player,Year
Hyderabad (Deccan),v Australia,KuldeepYadav,2019
Hyderabad (Deccan),v Australia,YSChahal,2019
Hyderabad (Deccan),v Australia,JJBumrah,2019
Hyderabad (Deccan),v Australia,BKumar,2019
Hyderabad (Deccan),v Australia,RAJadeja,2019
Hyderabad (Deccan),v Australia,MohammedShami,2019
Hyderabad (Deccan),v Australia,UTYadav,2019
Hyderabad (Deccan),v Australia,KMJadhav,2019
Hyderabad (Deccan),v Australia,VShankar,2019
Hyderabad (Deccan),v Australia,SKaul,2019
Hyderabad (Deccan),v India,PJCummins,2019
Hyderabad (Deccan),v India,JARichardson,2019
Hyderabad (Deccan),v India,MPStoinis,2019
Hyderabad (Deccan),v India,NMCoulter-Nile,2019
Hyderabad (Deccan),v India,KWRichardson,2019
Hyderabad (Deccan),v India,GJMaxwell,2019
Hyderabad (Deccan),v India,JPBehrendorff,2019
Hyderabad (Deccan),v India,AZampa,2019
Hyderabad (Deccan),v India,NMLyon,2019
