Ground,Opposition,Player,Year
Mohali,v Australia,KuldeepYadav,2019
Mohali,v Australia,YSChahal,2019
Mohali,v Australia,JJBumrah,2019
Mohali,v Australia,BKumar,2019
Mohali,v Australia,RAJadeja,2019
Mohali,v Australia,MohammedShami,2019
Mohali,v Australia,UTYadav,2019
Mohali,v Australia,KMJadhav,2019
Mohali,v Australia,VShankar,2019
Mohali,v Australia,SKaul,2019
Mohali,v India,PJCummins,2019
Mohali,v India,JARichardson,2019
Mohali,v India,MPStoinis,2019
Mohali,v India,NMCoulter-Nile,2019
Mohali,v India,KWRichardson,2019
Mohali,v India,GJMaxwell,2019
Mohali,v India,JPBehrendorff,2019
Mohali,v India,AZampa,2019
Mohali,v India,NMLyon,2019
