Ground,Opposition,Player,Year
Ranchi,v Australia,KuldeepYadav,2019
Ranchi,v Australia,YSChahal,2019
Ranchi,v Australia,JJBumrah,2019
Ranchi,v Australia,BKumar,2019
Ranchi,v Australia,RAJadeja,2019
Ranchi,v Australia,MohammedShami,2019
Ranchi,v Australia,UTYadav,2019
Ranchi,v Australia,KMJadhav,2019
Ranchi,v Australia,VShankar,2019
Ranchi,v Australia,SKaul,2019
Ranchi,v India,PJCummins,2019
Ranchi,v India,JARichardson,2019
Ranchi,v India,MPStoinis,2019
Ranchi,v India,NMCoulter-Nile,2019
Ranchi,v India,KWRichardson,2019
Ranchi,v India,GJMaxwell,2019
Ranchi,v India,JPBehrendorff,2019
Ranchi,v India,AZampa,2019
Ranchi,v India,NMLyon,2019
